15,0,60,MH,3,[1. 1.]
421,4569,10,DAMH,3,[2. 2.]
17,0,58,MH,4,[1. 1.]
437,4559,4,DAMH,4,[2. 2.]
29,0,46,MH,5,[1. 1.]
421,4576,3,DAMH,5,[2. 2.]
12,0,63,MH,6,[1. 1.]
455,4539,6,DAMH,6,[2. 2.]
17,0,58,MH,2,[1. 1.]
479,4511,10,ADAMH,2,[2. 2.]
15,0,60,MH,3,[1. 1.]
439,4552,9,ADAMH,3,[2. 2.]
17,0,58,MH,4,[1. 1.]
437,4560,3,ADAMH,4,[2. 2.]
29,0,46,MH,5,[1. 1.]
458,4536,6,ADAMH,5,[2. 2.]
12,0,63,MH,6,[1. 1.]
432,4566,2,ADAMH,6,[2. 2.]
17,0,58,MH,2,[1. 1.]
438,4558,4,DAMHSMU,2,[2. 2.]
15,0,60,MH,3,[1. 1.]
432,4565,3,DAMHSMU,3,[2. 2.]
17,0,58,MH,4,[1. 1.]
444,4554,2,DAMHSMU,4,[2. 2.]
29,0,46,MH,5,[1. 1.]
448,4542,10,DAMHSMU,5,[2. 2.]
12,0,63,MH,6,[1. 1.]
434,4561,5,DAMHSMU,6,[2. 2.]
22,0,78,MH,2,[1. 1.]
476,4518,6,DAMH,2,[2. 2.]
18,0,82,MH,3,[1. 1.]
445,4550,5,DAMH,3,[2. 2.]
21,0,79,MH,4,[1. 1.]
427,4569,4,DAMH,4,[2. 2.]
35,0,65,MH,5,[1. 1.]
436,4562,2,DAMH,5,[2. 2.]
22,0,78,MH,6,[1. 1.]
433,4565,2,DAMH,6,[2. 2.]
22,0,78,MH,2,[1. 1.]
452,4544,4,ADAMH,2,[2. 2.]
18,0,82,MH,3,[1. 1.]
456,4536,8,ADAMH,3,[2. 2.]
21,0,79,MH,4,[1. 1.]
408,4590,2,ADAMH,4,[2. 2.]
35,0,65,MH,5,[1. 1.]
434,4562,4,ADAMH,5,[2. 2.]
22,0,78,MH,6,[1. 1.]
465,4531,4,ADAMH,6,[2. 2.]
22,0,78,MH,2,[1. 1.]
519,4474,7,DAMHSMU,2,[2. 2.]
18,0,82,MH,3,[1. 1.]
444,4554,2,DAMHSMU,3,[2. 2.]
21,0,79,MH,4,[1. 1.]
455,4544,1,DAMHSMU,4,[2. 2.]
35,0,65,MH,5,[1. 1.]
441,4558,1,DAMHSMU,5,[2. 2.]
22,0,78,MH,6,[1. 1.]
446,4552,2,DAMHSMU,6,[2. 2.]
31,0,119,MH,2,[1. 1.]
486,4507,7,DAMH,2,[2. 2.]
29,0,121,MH,3,[1. 1.]
453,4544,3,DAMH,3,[2. 2.]
30,0,120,MH,4,[1. 1.]
463,4535,2,DAMH,4,[2. 2.]
47,0,103,MH,5,[1. 1.]
454,4542,4,DAMH,5,[2. 2.]
33,0,117,MH,6,[1. 1.]
449,4550,1,DAMH,6,[2. 2.]
31,0,119,MH,2,[1. 1.]
500,4493,7,ADAMH,2,[2. 2.]
29,0,121,MH,3,[1. 1.]
460,4537,3,ADAMH,3,[2. 2.]
30,0,120,MH,4,[1. 1.]
459,4531,10,ADAMH,4,[2. 2.]
47,0,103,MH,5,[1. 1.]
444,4550,6,ADAMH,5,[2. 2.]
33,0,117,MH,6,[1. 1.]
443,4557,0,ADAMH,6,[2. 2.]
31,0,119,MH,2,[1. 1.]
470,4529,1,DAMHSMU,2,[2. 2.]
29,0,121,MH,3,[1. 1.]
472,4528,0,DAMHSMU,3,[2. 2.]
30,0,120,MH,4,[1. 1.]
461,4539,0,DAMHSMU,4,[2. 2.]
47,0,103,MH,5,[1. 1.]
463,4529,8,DAMHSMU,5,[2. 2.]
33,0,117,MH,6,[1. 1.]
443,4557,0,DAMHSMU,6,[2. 2.]
44,0,156,MH,2,[1. 1.]
457,4542,1,DAMH,2,[2. 2.]
40,0,160,MH,3,[1. 1.]
455,4542,3,DAMH,3,[2. 2.]
37,0,163,MH,4,[1. 1.]
450,4550,0,DAMH,4,[2. 2.]
58,0,142,MH,5,[1. 1.]
446,4552,2,DAMH,5,[2. 2.]
46,0,154,MH,6,[1. 1.]
433,4566,1,DAMH,6,[2. 2.]
44,0,156,MH,2,[1. 1.]
457,4542,1,ADAMH,2,[2. 2.]
40,0,160,MH,3,[1. 1.]
432,4568,0,ADAMH,3,[2. 2.]
37,0,163,MH,4,[1. 1.]
439,4561,0,ADAMH,4,[2. 2.]
